[INFO 12:39:22 AM] miguelsolorio.symbols activated
[INFO 12:39:22 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:39:22 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:39:22 AM] symbols.files.associations changed, updating to undefined
[INFO 12:39:23 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:39:23 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:39:23 AM] symbols.files.associations changed, updating to undefined
[INFO 12:39:24 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:39:24 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:39:24 AM] symbols.files.associations changed, updating to undefined
[INFO 12:39:25 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:39:25 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:39:25 AM] symbols.files.associations changed, updating to undefined
[INFO 12:39:37 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:39:37 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:39:37 AM] symbols.files.associations changed, updating to undefined
[INFO 12:43:39 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:43:39 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:43:39 AM] symbols.files.associations changed, updating to undefined
[INFO 12:44:42 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:44:42 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:44:42 AM] symbols.files.associations changed, updating to undefined
[INFO 12:44:52 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:44:52 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:44:52 AM] symbols.files.associations changed, updating to undefined
[INFO 12:45:26 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:45:26 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:45:26 AM] symbols.files.associations changed, updating to undefined
[INFO 12:45:28 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:45:28 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:45:28 AM] symbols.files.associations changed, updating to undefined
[INFO 12:47:06 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:47:06 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:47:06 AM] symbols.files.associations changed, updating to undefined
[INFO 12:47:44 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:47:44 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:47:44 AM] symbols.files.associations changed, updating to undefined
[INFO 12:50:57 AM] symbols.hidesExplorerArrows changed, updating to false
