[INFO 10:51:37 AM] miguelsolorio.symbols activated
[INFO 10:51:37 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:51:37 AM] symbols.folders.associations changed, updating to undefined
[INFO 10:51:37 AM] symbols.files.associations changed, updating to undefined
[INFO 10:51:38 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:51:38 AM] symbols.folders.associations changed, updating to undefined
[INFO 10:51:38 AM] symbols.files.associations changed, updating to undefined
[INFO 10:51:58 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:51:58 AM] symbols.folders.associations changed, updating to undefined
[INFO 10:51:58 AM] symbols.files.associations changed, updating to undefined
[INFO 10:52:38 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:52:38 AM] symbols.folders.associations changed, updating to undefined
[INFO 10:52:38 AM] symbols.files.associations changed, updating to undefined
[INFO 10:52:48 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:52:48 AM] symbols.folders.associations changed, updating to undefined
[INFO 10:52:48 AM] symbols.files.associations changed, updating to undefined
