[INFO 10:52:51 AM] miguelsolorio.symbols activated
[INFO 10:52:51 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:52:51 AM] symbols.folders.associations changed, updating to undefined
[INFO 10:52:51 AM] symbols.files.associations changed, updating to undefined
[INFO 10:52:52 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:52:52 AM] symbols.folders.associations changed, updating to undefined
[INFO 10:52:52 AM] symbols.files.associations changed, updating to undefined
[INFO 11:14:52 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:14:52 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:14:52 AM] symbols.files.associations changed, updating to undefined
[INFO 11:15:21 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:15:21 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:15:21 AM] symbols.files.associations changed, updating to undefined
[INFO 11:16:11 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:16:11 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:16:11 AM] symbols.files.associations changed, updating to undefined
[INFO 11:16:30 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:16:30 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:16:30 AM] symbols.files.associations changed, updating to undefined
[INFO 11:19:37 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:19:37 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:19:37 AM] symbols.files.associations changed, updating to undefined
[INFO 11:21:59 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:21:59 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:21:59 AM] symbols.files.associations changed, updating to undefined
[INFO 11:23:33 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:23:33 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:23:33 AM] symbols.files.associations changed, updating to undefined
[INFO 11:26:17 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:26:17 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:26:17 AM] symbols.files.associations changed, updating to undefined
[INFO 11:31:36 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:31:36 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:31:36 AM] symbols.files.associations changed, updating to undefined
[INFO 11:32:47 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:32:47 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:32:47 AM] symbols.files.associations changed, updating to undefined
[INFO 11:34:48 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:34:48 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:34:48 AM] symbols.files.associations changed, updating to undefined
