[INFO 10:51:34 AM] miguelsolorio.symbols activated
[INFO 10:51:34 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:51:34 AM] symbols.folders.associations changed, updating to undefined
[INFO 10:51:34 AM] symbols.files.associations changed, updating to undefined
[INFO 10:51:35 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:51:35 AM] symbols.folders.associations changed, updating to undefined
[INFO 10:51:35 AM] symbols.files.associations changed, updating to undefined
[INFO 10:53:06 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:53:06 AM] symbols.folders.associations changed, updating to undefined
[INFO 10:53:06 AM] symbols.files.associations changed, updating to undefined
[INFO 10:53:43 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:53:43 AM] symbols.folders.associations changed, updating to undefined
[INFO 10:53:43 AM] symbols.files.associations changed, updating to undefined
[INFO 10:53:48 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:53:48 AM] symbols.folders.associations changed, updating to undefined
[INFO 10:53:48 AM] symbols.files.associations changed, updating to undefined
[INFO 10:55:08 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:55:08 AM] symbols.folders.associations changed, updating to undefined
[INFO 10:55:08 AM] symbols.files.associations changed, updating to undefined
[INFO 10:58:58 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:58:58 AM] symbols.folders.associations changed, updating to undefined
[INFO 10:58:58 AM] symbols.files.associations changed, updating to undefined
[INFO 10:59:26 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:59:26 AM] symbols.folders.associations changed, updating to undefined
[INFO 10:59:26 AM] symbols.files.associations changed, updating to undefined
[INFO 11:00:36 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:00:36 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:00:36 AM] symbols.files.associations changed, updating to undefined
[INFO 11:00:40 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:00:40 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:00:40 AM] symbols.files.associations changed, updating to undefined
[INFO 11:01:05 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:01:05 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:01:05 AM] symbols.files.associations changed, updating to undefined
[INFO 11:01:05 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:01:05 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:01:05 AM] symbols.files.associations changed, updating to undefined
[INFO 11:01:06 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:01:06 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:01:06 AM] symbols.files.associations changed, updating to undefined
[INFO 11:03:58 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:03:58 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:03:58 AM] symbols.files.associations changed, updating to undefined
[INFO 11:04:03 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:04:03 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:04:03 AM] symbols.files.associations changed, updating to undefined
[INFO 11:04:04 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:04:04 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:04:04 AM] symbols.files.associations changed, updating to undefined
[INFO 11:04:05 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:04:05 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:04:05 AM] symbols.files.associations changed, updating to undefined
[INFO 11:05:59 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:05:59 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:05:59 AM] symbols.files.associations changed, updating to undefined
[INFO 11:06:09 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:06:09 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:06:09 AM] symbols.files.associations changed, updating to undefined
[INFO 11:07:26 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:07:26 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:07:26 AM] symbols.files.associations changed, updating to undefined
[INFO 11:07:26 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:07:26 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:07:26 AM] symbols.files.associations changed, updating to undefined
[INFO 11:09:06 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:09:06 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:09:06 AM] symbols.files.associations changed, updating to undefined
[INFO 11:09:13 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:09:13 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:09:13 AM] symbols.files.associations changed, updating to undefined
[INFO 11:09:13 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:09:13 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:09:13 AM] symbols.files.associations changed, updating to undefined
[INFO 11:09:42 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:09:42 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:09:42 AM] symbols.files.associations changed, updating to undefined
[INFO 11:09:44 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:09:44 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:09:44 AM] symbols.files.associations changed, updating to undefined
[INFO 11:10:10 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:10:10 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:10:10 AM] symbols.files.associations changed, updating to undefined
[INFO 11:10:13 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:10:13 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:10:13 AM] symbols.files.associations changed, updating to undefined
[INFO 11:10:15 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:10:15 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:10:15 AM] symbols.files.associations changed, updating to undefined
[INFO 11:12:08 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:12:08 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:12:08 AM] symbols.files.associations changed, updating to undefined
[INFO 11:12:08 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:12:08 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:12:08 AM] symbols.files.associations changed, updating to undefined
[INFO 11:12:28 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:12:28 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:12:28 AM] symbols.files.associations changed, updating to undefined
[INFO 11:13:36 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:13:36 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:13:36 AM] symbols.files.associations changed, updating to undefined
[INFO 11:14:21 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:14:21 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:14:21 AM] symbols.files.associations changed, updating to undefined
[INFO 11:14:27 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:14:27 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:14:27 AM] symbols.files.associations changed, updating to undefined
[INFO 11:14:28 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:14:28 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:14:28 AM] symbols.files.associations changed, updating to undefined
[INFO 11:14:28 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:14:28 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:14:28 AM] symbols.files.associations changed, updating to undefined
[INFO 11:14:29 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:14:29 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:14:29 AM] symbols.files.associations changed, updating to undefined
[INFO 11:14:29 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:14:29 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:14:29 AM] symbols.files.associations changed, updating to undefined
[INFO 11:14:36 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:14:36 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:14:36 AM] symbols.files.associations changed, updating to undefined
[INFO 11:14:46 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:14:46 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:14:46 AM] symbols.files.associations changed, updating to undefined
[INFO 11:14:48 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:14:48 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:14:48 AM] symbols.files.associations changed, updating to undefined
