[INFO 11:35:18 AM] miguelsolorio.symbols activated
[INFO 11:35:18 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:35:18 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:35:18 AM] symbols.files.associations changed, updating to undefined
[INFO 11:35:19 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:35:19 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:35:19 AM] symbols.files.associations changed, updating to undefined
[INFO 11:35:20 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:35:20 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:35:20 AM] symbols.files.associations changed, updating to undefined
[INFO 11:35:43 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:35:43 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:35:43 AM] symbols.files.associations changed, updating to undefined
[INFO 11:40:47 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:40:47 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:40:47 AM] symbols.files.associations changed, updating to undefined
[INFO 11:40:49 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:40:49 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:40:49 AM] symbols.files.associations changed, updating to undefined
[INFO 11:41:30 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:41:30 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:41:30 AM] symbols.files.associations changed, updating to undefined
[INFO 11:42:34 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:42:34 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:42:34 AM] symbols.files.associations changed, updating to undefined
[INFO 11:52:46 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:52:46 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:52:46 AM] symbols.files.associations changed, updating to undefined
[INFO 11:53:10 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:53:10 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:53:10 AM] symbols.files.associations changed, updating to undefined
