[INFO 11:35:06 AM] miguelsolorio.symbols activated
[INFO 11:35:06 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:35:06 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:35:06 AM] symbols.files.associations changed, updating to undefined
[INFO 11:35:07 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:35:07 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:35:07 AM] symbols.files.associations changed, updating to undefined
[INFO 11:35:17 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:35:17 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:35:17 AM] symbols.files.associations changed, updating to undefined
