[INFO 12:14:51 PM] miguelsolorio.symbols activated
[INFO 12:14:51 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:14:51 PM] symbols.folders.associations changed, updating to undefined
[INFO 12:14:51 PM] symbols.files.associations changed, updating to undefined
[INFO 12:14:52 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:14:52 PM] symbols.folders.associations changed, updating to undefined
[INFO 12:14:52 PM] symbols.files.associations changed, updating to undefined
[INFO 12:15:01 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:15:01 PM] symbols.folders.associations changed, updating to undefined
[INFO 12:15:01 PM] symbols.files.associations changed, updating to undefined
