[INFO 4:51:36 PM] miguelsolorio.symbols activated
[INFO 4:51:36 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:51:36 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:51:36 PM] symbols.files.associations changed, updating to undefined
[INFO 4:51:37 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:51:37 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:51:37 PM] symbols.files.associations changed, updating to undefined
[INFO 4:51:50 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:51:50 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:51:50 PM] symbols.files.associations changed, updating to undefined
